id,date,year,month,month_name,season,weekday,day_name,day_type,weather,temp,temp_feel,humidity,windspeed,casual,registered,total,yearmonth
1,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.1,18.18125,0.805833,10.749882,331,654,985,2011-Jan
2,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.9,17.686950000000003,0.696087,16.652113,131,670,801,2011-Jan
3,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",8.1,9.47025,0.437273,16.636703,120,1229,1349,2011-Jan
4,2011-01-04,2011,1,Jan,Spring,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",8.2,10.6061,0.590435,10.739832,108,1454,1562,2011-Jan
5,2011-01-05,2011,1,Jan,Spring,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",9.3,11.4635,0.436957,12.522300000000001,82,1518,1600,2011-Jan
6,2011-01-06,2011,1,Jan,Spring,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",8.4,11.66045,0.518261,6.0008684,88,1518,1606,2011-Jan
7,2011-01-07,2011,1,Jan,Spring,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.1,10.44195,0.498696,11.304642,148,1362,1510,2011-Jan
8,2011-01-08,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.8,8.1127,0.535833,17.875868,68,891,959,2011-Jan
9,2011-01-09,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",5.7,5.80875,0.434167,24.25065,54,768,822,2011-Jan
10,2011-01-10,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",6.2,7.5443999999999996,0.482917,14.958889,41,1280,1321,2011-Jan
11,2011-01-11,2011,1,Jan,Spring,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.9,9.5732,0.686364,8.182844000000001,43,1220,1263,2011-Jan
12,2011-01-12,2011,1,Jan,Spring,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",7.1,8.02365,0.599545,20.410009,25,1137,1162,2011-Jan
13,2011-01-13,2011,1,Jan,Spring,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",6.8,7.544149999999999,0.470417,20.166999999999998,38,1368,1406,2011-Jan
14,2011-01-14,2011,1,Jan,Spring,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",6.6,9.42065,0.537826,8.478716,54,1367,1421,2011-Jan
15,2011-01-15,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.6,12.4056,0.49875,10.583521,222,1026,1248,2011-Jan
16,2011-01-16,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",9.5,11.71085,0.48375,12.625010999999999,251,953,1204,2011-Jan
17,2011-01-17,2011,1,Jan,Spring,1,Mon,Holiday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.2,8.838550000000001,0.5375,12.999139,117,883,1000,2011-Jan
18,2011-01-18,2011,1,Jan,Spring,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.9,11.61665,0.861667,9.833924999999999,9,674,683,2011-Jan
19,2011-01-19,2011,1,Jan,Spring,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.0,14.921100000000001,0.741739,13.957239,78,1572,1650,2011-Jan
20,2011-01-20,2011,1,Jan,Spring,4,Thu,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.7,12.7525,0.538333,13.125568,83,1844,1927,2011-Jan
21,2011-01-21,2011,1,Jan,Spring,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",7.3,7.89165,0.457083,23.667214,75,1468,1543,2011-Jan
22,2011-01-22,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",2.4,3.9534800000000003,0.4,11.52199,93,888,981,2011-Jan
23,2011-01-23,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",4.0,4.941955,0.436522,16.5222,150,836,986,2011-Jan
24,2011-01-24,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",4.0,5.8965,0.491739,10.60811,86,1330,1416,2011-Jan
25,2011-01-25,2011,1,Jan,Spring,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.2,11.7263,0.616957,8.696332,186,1799,1985,2011-Jan
26,2011-01-26,2011,1,Jan,Spring,3,Wed,Working Day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",8.9,10.18,0.8625,19.68795,34,472,506,2011-Jan
27,2011-01-27,2011,1,Jan,Spring,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",8.0,10.985,0.6875,7.627078999999999,15,416,431,2011-Jan
28,2011-01-28,2011,1,Jan,Spring,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.3,11.165849999999999,0.793043,8.2611,38,1129,1167,2011-Jan
29,2011-01-29,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",8.1,10.606300000000001,0.651739,9.739455,123,975,1098,2011-Jan
30,2011-01-30,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",8.9,12.5161,0.722174,4.956834199999999,140,956,1096,2011-Jan
31,2011-01-31,2011,1,Jan,Spring,1,Mon,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.4,9.3125,0.60375,12.541864,42,1459,1501,2011-Jan
32,2011-02-01,2011,2,Feb,Spring,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.9,11.7265,0.829565,3.565271,47,1313,1360,2011-Feb
33,2011-02-02,2011,2,Feb,Spring,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.7,12.72085,0.775417,17.708636,72,1454,1526,2011-Feb
34,2011-02-03,2011,2,Feb,Spring,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",7.7,8.8939,0.437826,18.609384,61,1489,1550,2011-Feb
35,2011-02-04,2011,2,Feb,Spring,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.7,11.429350000000001,0.585217,8.565213,88,1620,1708,2011-Feb
36,2011-02-05,2011,2,Feb,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.6,12.152899999999999,0.929167,10.792293,100,905,1005,2011-Feb
37,2011-02-06,2011,2,Feb,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",11.7,14.58355,0.568333,9.5006,354,1269,1623,2011-Feb
38,2011-02-07,2011,2,Feb,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",11.1,15.1829,0.738333,3.0423561,120,1592,1712,2011-Feb
39,2011-02-08,2011,2,Feb,Spring,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",9.1,9.9123,0.537917,24.25065,64,1466,1530,2011-Feb
