id,date,year,month,month_name,season,weekday,day_name,day_type,weather,hour,temp,temp_feel,humidity,windspeed,casual,registered,total,yearmonth
1,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",0,9.84,14.4,0.81,0.0,3,13,16,2011-Jan
2,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",1,9.02,13.6,0.8,0.0,8,32,40,2011-Jan
3,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",2,9.02,13.6,0.8,0.0,5,27,32,2011-Jan
4,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",3,9.84,14.4,0.75,0.0,3,10,13,2011-Jan
5,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",4,9.84,14.4,0.75,0.0,0,1,1,2011-Jan
6,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5,9.84,12.9,0.75,6.0032,0,1,1,2011-Jan
7,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",6,9.02,13.6,0.8,0.0,2,0,2,2011-Jan
8,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",7,8.200000000000001,12.9,0.86,0.0,1,2,3,2011-Jan
9,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",8,9.84,14.4,0.75,0.0,1,7,8,2011-Jan
10,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",9,13.120000000000001,17.4,0.76,0.0,8,6,14,2011-Jan
11,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",10,15.58,19.7,0.76,16.997899999999998,12,24,36,2011-Jan
12,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",11,14.76,16.7,0.81,19.0012,26,30,56,2011-Jan
13,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",12,17.22,21.2,0.77,19.0012,29,55,84,2011-Jan
14,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13,18.86,22.7,0.72,19.999499999999998,47,47,94,2011-Jan
15,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14,18.86,22.7,0.72,19.0012,35,71,106,2011-Jan
16,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15,18.04,22.0,0.77,19.999499999999998,40,70,110,2011-Jan
17,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16,17.22,21.2,0.82,19.999499999999998,41,52,93,2011-Jan
18,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17,18.04,22.0,0.82,19.0012,15,52,67,2011-Jan
19,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",18,17.22,21.2,0.88,16.997899999999998,9,26,35,2011-Jan
20,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",19,17.22,21.2,0.88,16.997899999999998,6,31,37,2011-Jan
21,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",20,16.400000000000002,20.5,0.87,16.997899999999998,11,25,36,2011-Jan
22,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21,16.400000000000002,20.5,0.87,12.998000000000001,3,31,34,2011-Jan
23,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",22,16.400000000000002,20.5,0.94,15.001299999999999,11,17,28,2011-Jan
24,2011-01-01,2011,1,Jan,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23,18.86,22.7,0.88,19.999499999999998,15,24,39,2011-Jan
25,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0,18.86,22.7,0.88,19.999499999999998,4,13,17,2011-Jan
26,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1,18.04,22.0,0.94,16.997899999999998,1,16,17,2011-Jan
27,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2,17.22,21.2,1.0,19.0012,1,8,9,2011-Jan
28,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3,18.86,22.7,0.94,12.998000000000001,2,4,6,2011-Jan
29,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",4,18.86,22.7,0.94,12.998000000000001,2,1,3,2011-Jan
30,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",6,17.22,21.2,0.77,19.999499999999998,0,2,2,2011-Jan
31,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7,16.400000000000002,20.5,0.76,12.998000000000001,0,1,1,2011-Jan
32,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",8,16.400000000000002,20.5,0.71,15.001299999999999,0,8,8,2011-Jan
33,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9,15.58,19.7,0.76,15.001299999999999,1,19,20,2011-Jan
34,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10,14.76,17.4,0.81,15.001299999999999,7,46,53,2011-Jan
35,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11,14.76,16.7,0.71,16.997899999999998,16,54,70,2011-Jan
36,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12,14.76,16.7,0.66,19.999499999999998,20,73,93,2011-Jan
37,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13,14.76,17.4,0.66,8.9981,11,64,75,2011-Jan
38,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",14,14.76,17.4,0.76,12.998000000000001,4,55,59,2011-Jan
39,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",15,13.940000000000001,16.7,0.81,11.0014,19,55,74,2011-Jan
40,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",16,13.940000000000001,16.7,0.71,11.0014,9,67,76,2011-Jan
41,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",17,13.940000000000001,16.7,0.57,12.998000000000001,7,58,65,2011-Jan
42,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18,14.76,16.7,0.46,22.0028,10,43,53,2011-Jan
43,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",19,13.120000000000001,14.4,0.42,30.002599999999997,1,29,30,2011-Jan
44,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",20,12.299999999999999,13.6,0.39,23.9994,5,17,22,2011-Jan
45,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",21,10.66,11.4,0.44,22.0028,11,20,31,2011-Jan
46,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",22,9.84,10.6,0.44,19.999499999999998,0,9,9,2011-Jan
47,2011-01-02,2011,1,Jan,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",23,9.02,11.4,0.47,11.0014,0,8,8,2011-Jan
48,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",0,9.02,9.8,0.44,23.9994,0,5,5,2011-Jan
49,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",1,8.200000000000001,8.3,0.44,27.999299999999998,0,2,2,2011-Jan
50,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",4,6.5600000000000005,6.8,0.47,26.0027,0,1,1,2011-Jan
51,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",5,6.5600000000000005,6.8,0.47,19.0012,0,3,3,2011-Jan
52,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",6,5.74,5.3,0.5,26.0027,0,30,30,2011-Jan
53,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",7,5.74,6.8,0.5,12.998000000000001,1,63,64,2011-Jan
54,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",8,5.74,6.1,0.5,19.0012,1,153,154,2011-Jan
55,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",9,6.5600000000000005,6.8,0.43,26.0027,7,81,88,2011-Jan
56,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",10,7.38,8.3,0.43,16.997899999999998,11,33,44,2011-Jan
57,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",11,8.200000000000001,9.1,0.4,22.0028,10,41,51,2011-Jan
58,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",12,9.02,10.6,0.35,19.999499999999998,13,48,61,2011-Jan
59,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",13,9.84,10.6,0.35,19.0012,8,53,61,2011-Jan
60,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",14,10.66,12.1,0.3,19.0012,11,66,77,2011-Jan
61,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",15,10.66,12.1,0.3,16.997899999999998,14,58,72,2011-Jan
62,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",16,10.66,12.1,0.3,16.997899999999998,9,67,76,2011-Jan
63,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",17,9.84,11.4,0.3,15.001299999999999,11,146,157,2011-Jan
64,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",18,9.84,12.9,0.32,7.0015,9,148,157,2011-Jan
65,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",19,8.200000000000001,12.9,0.47,0.0,8,102,110,2011-Jan
66,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",20,8.200000000000001,11.4,0.47,7.0015,3,49,52,2011-Jan
67,2011-01-03,2011,1,Jan,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",21,7.38,9.8,0.64,8.9981,3,49,52,2011-Jan
